country,coub,fborn,edu_lfs,edu_cen,lfs_lfs,field_edu,number,reg_oecd,reg_regions
"NZL","AFRI",1,3,3,3,6,6,0,"AFRI"
"MEX","AFRI",1,3,3,1,7,2,0,"AFRI"
"IRL","AFRI",1,3,3,3,8,6,0,"AFRI"
"AUS","AFRI",1,3,3,99,99,4,0,"AFRI"
"IRL","AFRI",1,3,3,2,1,3,0,"AFRI"
"MEX","AFRI",1,3,4,3,8,1,0,"AFRI"
"AUT","AFRI",1,3,34,1,6,63,0,"AFRI"
"AUS","AFRI",1,3,4,3,5,16,0,"AFRI"
"MEX","AFRI",1,3,3,1,99,6,0,"AFRI"
"NZL","AFRI",1,3,3,1,5,21,0,"AFRI"
"NZL","AFRI",1,3,4,1,99,9,0,"AFRI"
"NZL","AFRI",1,3,3,1,6,36,0,"AFRI"
"IRL","AFRI",1,3,3,3,5,3,0,"AFRI"
"AUS","AFRI",1,3,3,1,5,15,0,"AFRI"
"AUT","AFRI",1,3,34,3,1,1,0,"AFRI"
"NZL","AFRI",1,3,4,1,2,9,0,"AFRI"
"MEX","AFRI",1,3,3,3,1,1,0,"AFRI"
"IRL","AFRI",1,3,3,1,99,21,0,"AFRI"
"AUS","AFRI",1,3,4,2,6,5,0,"AFRI"
"MEX","AFRI",1,3,4,3,3,1,0,"AFRI"
"NZL","AFRI",1,3,3,1,3,24,0,"AFRI"
"AUS","AFRI",1,3,4,2,4,7,0,"AFRI"
"MEX","AFRI",1,3,3,3,2,1,0,"AFRI"
"MEX","AFRI",1,3,4,1,7,1,0,"AFRI"
"AUT","AFRI",1,3,34,3,99,14,0,"AFRI"
"NOR","AFRI",1,3,4,1,8,1,0,"AFRI"
"NOR","AFRI",1,3,3,3,7,2,0,"AFRI"
"IRL","AFRI",1,3,3,3,99,12,0,"AFRI"
"NOR","AFRI",1,3,3,2,2,1,0,"AFRI"
"IRL","AFRI",1,3,3,1,3,3,0,"AFRI"
"AUS","AFRI",1,3,3,3,9,30,0,"AFRI"
"NOR","AFRI",1,3,3,2,4,2,0,"AFRI"
"MEX","AFRI",1,3,3,1,8,1,0,"AFRI"
"IRL","AFRI",1,3,3,3,3,6,0,"AFRI"
"AUT","AFRI",1,3,34,1,99,44,0,"AFRI"
"NOR","AFRI",1,3,3,2,9,1,0,"AFRI"
"NZL","AFRI",1,3,3,2,8,3,0,"AFRI"
"MEX","AFRI",1,3,3,3,4,6,0,"AFRI"
"AUT","AFRI",1,3,34,3,4,33,0,"AFRI"
"NZL","AFRI",1,3,4,3,5,6,0,"AFRI"
"NOR","AFRI",1,3,3,3,3,7,0,"AFRI"
"IRL","AFRI",1,3,3,1,5,6,0,"AFRI"
"IRL","AFRI",1,3,3,2,99,6,0,"AFRI"
"MEX","AFRI",1,3,3,3,3,2,0,"AFRI"
"MEX","AFRI",1,3,3,1,9,1,0,"AFRI"
"MEX","AFRI",1,3,3,1,1,1,0,"AFRI"
"AUS","AFRI",1,3,3,99,6,8,0,"AFRI"
"IRL","AFRI",1,3,3,1,2,3,0,"AFRI"
"AUS","AFRI",1,3,3,1,6,18,0,"AFRI"
"AUT","AFRI",1,3,34,2,5,8,0,"AFRI"
"NZL","AFRI",1,3,3,1,4,54,0,"AFRI"
"MEX","AFRI",1,3,4,3,4,1,0,"AFRI"
"AUT","AFRI",1,3,34,1,3,79,0,"AFRI"
"NOR","AFRI",1,3,3,2,6,1,0,"AFRI"
"MEX","AFRI",1,3,3,3,8,2,0,"AFRI"
"AUS","AFRI",1,3,3,3,7,24,0,"AFRI"
"AUS","AFRI",1,3,4,3,6,9,0,"AFRI"
"NOR","AFRI",1,3,3,3,5,4,0,"AFRI"
"AUS","AFRI",1,3,4,2,8,10,0,"AFRI"
"NZL","AFRI",1,3,3,3,7,3,0,"AFRI"
"NZL","AFRI",1,3,3,1,2,30,0,"AFRI"
"AUS","AFRI",1,3,4,2,7,5,0,"AFRI"
"NOR","AFRI",1,3,3,3,4,11,0,"AFRI"
"AUS","AFRI",1,3,4,2,3,6,0,"AFRI"
"NOR","AFRI",1,3,3,3,2,3,0,"AFRI"
"AUS","AFRI",1,3,4,3,4,4,0,"AFRI"
"AUS","AFRI",1,3,3,2,3,19,0,"AFRI"
"AUS","AFRI",1,3,4,1,8,24,0,"AFRI"
"AUS","AFRI",1,3,3,1,8,16,0,"AFRI"
"NOR","AFRI",1,3,3,1,4,8,0,"AFRI"
"NZL","AFRI",1,3,3,1,9,3,0,"AFRI"
"AUS","AFRI",1,3,4,3,8,14,0,"AFRI"
"AUS","AFRI",1,3,3,1,99,26,0,"AFRI"
"AUS","AFRI",1,3,3,2,2,18,0,"AFRI"
"IRL","AFRI",1,3,3,1,9,9,0,"AFRI"
"IRL","AFRI",1,3,3,1,6,12,0,"AFRI"
"MEX","AFRI",1,3,3,1,5,1,0,"AFRI"
"NZL","AFRI",1,3,3,2,2,3,0,"AFRI"
"AUT","AFRI",1,3,34,3,7,5,0,"AFRI"
"AUS","AFRI",1,3,3,3,6,38,0,"AFRI"
"MEX","AFRI",1,3,4,1,3,1,0,"AFRI"
